Carimbo de data/hora,Você concluiu o TP?,"Em geral, qual foi o seu sentimento sobre o Trabalho Prático?","De forma mais específica, selecione as opções com as quais você se identifica [Eu tive dificuldades técnicas para usar/instalar a biblioteca]","De forma mais específica, selecione as opções com as quais você se identifica [Eu estive animado(a) durante a maior parte do desenvolvimento do jogo]","De forma mais específica, selecione as opções com as quais você se identifica [O Brenno conseguiu me ajudar com minhas dúvidas]","De forma mais específica, selecione as opções com as quais você se identifica [O professor conseguiu me ajudar com minhas dúvidas]","De forma mais específica, selecione as opções com as quais você se identifica [Os monitores conseguiram me ajudar com minhas dúvidas]","Na sua opinião, você diria que o TP ficou mais complexo por se tratar do desenvolvimento de um jogo?","Sobre os seus colegas de turma, você diria que eles tiveram muitas dificuldades com o desenvolvimento do jogo?","Se você pudesse voltar no tempo e pudesse alterar o TP, você alteraria?

Imagine que este outro ainda envolveria alocações, structs e manipulação de arquivo, porém não seria um jogo. Por exemplo, poderia ser uma interface de caixa de supermercado no terminal.",Deixe aqui qualquer crítica ou elogio que tenha a fazer sobre o TP e esta pesquisa.,"Se você marcou que não mudaria o trabalho, gostaria de deixar alguma dica ou sugestão para futuras aplicações dele em turmas de AEDS 1?",Imagine que todos os problemas de instalação da biblioteca foram resolvidos. Você acha que isso mudaria o seu sentimento sobre o trabalho prático?,Qual Sistema Operacional você utilizou durante a maioria do desenvolvimento do trabalho?,"Falando sobre a biblioteca, agora que o TP foi entregue, você ainda pretende usar a biblioteca para fazer jogos? (Múltipla escolha)","Quando você ficou sabendo que o Trabalho Prático envolveria o desenvolvimento de um jogo, como você se sentiu?",Você participou da aula de laboratório de introdução à biblioteca JOGO.H lecionada pelo Brenno?
14/12/2022 11:26:23,"Sim, e estou satisfeito com o resultado","Positivo, o desenvolvimento de um jogo me deixou mais animado(a) e me fez aprender mais",Concordo,Concordo,Neutro/Não se aplica,Neutro/Não se aplica,Neutro/Não se aplica,"Sim, porém eu acho que a complexidade é um ponto positivo","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Não, apesar de ter tido dificuldades, elas ainda estariam presentes em outro trabalho",,,"Sim, acho que a grande maioria dos problemas que eu e meus colegas encontraram foram relacionados à instalação",Windows,Acho que vou usar a biblioteca para fazer projetos pessoais,,
14/12/2022 13:23:28,"Sim, e estou satisfeito com o resultado","Positivo, o desenvolvimento de um jogo me deixou mais animado(a) e me fez aprender mais",Concordo,Concordo,Concordo,Concordo,Não concordo,"Sim, porém eu acho que a complexidade é um ponto positivo","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Não, acho que o desenvolvimento de um jogo me fez aprender mais e me trouxe uma experiência positiva",,Ajuda na instalação e uma aula introdutória com exemplos para guiar,"Sim, acho que a grande maioria dos problemas que eu e meus colegas encontraram foram relacionados à instalação",Windows,Acho que vou usar a biblioteca para desenvolver trabalhos em outras disciplinas,,
14/12/2022 13:25:39,"Sim, e estou satisfeito com o resultado","Negativo, os problemas técnicos e/ou a complexidade do trabalho me deixou mais frustrado(a) do que animado(a)",Concordo,Concordo,Neutro/Não se aplica,Concordo,Neutro/Não se aplica,"Sim, e por isso eu me frustrei durante o desenvolvimento","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Sim, porque a complexidade do jogo piorou o trabalho",,,"Sim, acho que a grande maioria dos problemas que eu e meus colegas encontraram foram relacionados à instalação",Linux,Não pretendo mais usar a biblioteca,,
14/12/2022 17:46:37,"Não, porque problemas técnicos me desmotivaram a desenvolver o jogo","Negativo, os problemas técnicos e/ou a complexidade do trabalho me deixou mais frustrado(a) do que animado(a)",Não concordo,Neutro/Não se aplica,Neutro/Não se aplica,Neutro/Não se aplica,Neutro/Não se aplica,"Não, acredito que a complexidade veio de programar em geral e não está diretamente relacionada com o desenvolvimento de um jogo","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Não, apesar de ter tido dificuldades, elas ainda estariam presentes em outro trabalho",,,"Não, acho que os problemas vão além de instalar a biblioteca",Windows,Acho que vou usar a biblioteca para desenvolver trabalhos em outras disciplinas,,
14/12/2022 20:12:29,"Sim, e estou satisfeito com o resultado","Positivo, o desenvolvimento de um jogo me deixou mais animado(a) e me fez aprender mais",Neutro/Não se aplica,Neutro/Não se aplica,Neutro/Não se aplica,Neutro/Não se aplica,Neutro/Não se aplica,"Sim, porém eu acho que a complexidade é um ponto positivo","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Não, acho que o desenvolvimento de um jogo me fez aprender mais e me trouxe uma experiência positiva",,,"Não, acho que os problemas vão além de instalar a biblioteca",Linux,Acho que vou usar a biblioteca para desenvolver trabalhos em outras disciplinas,,
14/12/2022 20:14:12,"Sim, e estou satisfeito com o resultado","Positivo, o desenvolvimento de um jogo me deixou mais animado(a) e me fez aprender mais",Neutro/Não se aplica,Concordo,Neutro/Não se aplica,Neutro/Não se aplica,Neutro/Não se aplica,"Sim, porém eu acho que a complexidade é um ponto positivo","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Não, apesar de ter tido dificuldades, elas ainda estariam presentes em outro trabalho",,,"Sim, acho que a grande maioria dos problemas que eu e meus colegas encontraram foram relacionados à instalação",Linux,Acho que vou usar a biblioteca para fazer projetos pessoais,,
14/12/2022 20:16:58,"Sim, e estou satisfeito com o resultado","Positivo, o desenvolvimento de um jogo me deixou mais animado(a) e me fez aprender mais",Concordo,Neutro/Não se aplica,Concordo,Concordo,Neutro/Não se aplica,"Sim, porém eu acho que a complexidade é um ponto positivo","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Não, acho que o desenvolvimento de um jogo me fez aprender mais e me trouxe uma experiência positiva","Apesar de ter passado raiva com alguns bugs durante o processo de desenvolvimento, eu achei muito legal, pois trabalhar com interface gráfica o resultado e muito mais gratificante.","Minha única sugestão é um tempo maior, e um pouco mais de exemplos na documentação, por exemplo quando o professor ensinou a fazer a cobrinha, o resto ficou mais fácil ","Sim, acho que a grande maioria dos problemas que eu e meus colegas encontraram foram relacionados à instalação",Linux,Acho que vou usar a biblioteca para fazer projetos pessoais,,
14/12/2022 20:17:04,As duas últimas opções ,"Negativo, os problemas técnicos e/ou a complexidade do trabalho me deixou mais frustrado(a) do que animado(a)",Neutro/Não se aplica,Não concordo,Concordo,Neutro/Não se aplica,Concordo,"Sim, e por isso eu me frustrei durante o desenvolvimento","Sim, acho que alguns tiveram muitas dificuldades, mas não a maioria","Não, apesar de ter tido dificuldades, elas ainda estariam presentes em outro trabalho","A proposta do trabalho foi muito legal, mas pela complexidade acabou me desestimulando de fazer
",,"Não, acho que os problemas vão além de instalar a biblioteca",Windows,Acho que vou usar a biblioteca para desenvolver trabalhos em outras disciplinas,,
14/12/2022 20:18:43,"Não, porque não consegui implementar tudo que foi pedido","Positivo, o desenvolvimento de um jogo me deixou mais animado(a) e me fez aprender mais",Concordo,Concordo,Concordo,Neutro/Não se aplica,Neutro/Não se aplica,"Sim, porém eu acho que a complexidade é um ponto positivo","Sim, acho que alguns tiveram muitas dificuldades, mas não a maioria","Não, apesar de ter tido dificuldades, elas ainda estariam presentes em outro trabalho","Quero elogiar tanto o Brenno quanto Elverton. Ambos foram atenciosos e auxiliaram sempre que possível, além da dedicação na realização e construção de todo o TP. Por mais que tive alguns problemas (provavelmente ocasionados por mim mesmo), o trabalho foi extremamente util. Eu consegui aprender bastante com a execução de um projeto real que inclusive auxiliou como uma forma de estudo para a prova. Muito obrigado!","Montar uma instrução detalhada do uso de cada função em um documento de fácil acesso, como PDF ou docs. Tive que acessar os módulos para tentar entender o funcionamento de certas aplicações.","Não, acho que os problemas vão além de instalar a biblioteca",Windows,"Acho que vou usar a biblioteca para fazer projetos pessoais, Acho que vou usar a biblioteca para desenvolver trabalhos em outras disciplinas",,
14/12/2022 20:33:41,"Não, porque problemas técnicos me desmotivaram a desenvolver o jogo","Negativo, os problemas técnicos e/ou a complexidade do trabalho me deixou mais frustrado(a) do que animado(a)",Concordo,Não concordo,Neutro/Não se aplica,Neutro/Não se aplica,Não concordo,"Sim, e por isso eu me frustrei durante o desenvolvimento","Sim, acho que a maioria teve muitas dificuldades no desenvolvimento","Sim, porque eu gostaria de obter uma nota maior",,,"Não, acho que os problemas vão além de instalar a biblioteca",Windows,Não pretendo mais usar a biblioteca,,
